date,max_temperature,min_temperature
2015-03-01 07:50:00,15.0,2.0
2015-03-02 07:50:00,16.0,11.0
2015-03-03 07:50:00,20.0,7.0
2015-03-04 07:50:00,16.0,6.0
2015-03-05 07:50:00,10.0,7.0
2015-03-06 07:50:00,13.0,8.0
2015-03-07 07:50:00,13.0,7.0
2015-03-08 07:50:00,16.0,7.0
2015-03-09 07:50:00,16.0,6.0
2015-03-10 07:50:00,16.0,2.0
2015-03-11 07:50:00,16.0,3.0
2015-03-12 07:50:00,14.0,7.0
2015-03-13 07:50:00,17.0,3.0
2015-03-14 07:50:00,15.0,3.0
2015-03-15 07:50:00,11.0,8.0
2015-03-16 07:50:00,12.0,9.0
2015-03-17 07:50:00,15.0,11.0
2015-03-18 07:50:00,18.0,7.0
2015-03-19 07:50:00,19.0,6.0
2015-03-20 07:50:00,17.0,6.0
2015-03-21 07:50:00,15.0,6.0
2015-03-22 07:50:00,13.0,8.0
2015-03-23 07:50:00,18.0,8.0
2015-03-24 07:50:00,20.0,11.0
2015-03-25 07:50:00,15.0,12.0
2015-03-26 07:50:00,20.0,14.0
2015-03-27 07:15:00,17.0,10.0
2015-03-28 07:15:00,18.0,12.0
2015-03-29 07:50:00,18.0,6.0
2015-03-30 07:50:00,20.0,12.0
2015-03-31 07:50:00,21.0,8.0
2015-04-01 09:50:00,21.0,12.0
2015-04-02 07:50:00,20.0,5.0
2015-04-03 07:50:00,19.0,6.0
2015-04-04 07:50:00,16.0,11.0
2015-04-05 07:50:00,12.0,9.0
2015-04-06 07:50:00,15.0,8.0
2015-04-07 08:50:00,13.0,7.0
2015-04-08 07:50:00,17.0,6.0
2015-04-09 07:50:00,21.0,3.0
2015-04-10 07:50:00,19.0,6.0
2015-04-11 07:50:00,18.0,5.0
2015-04-12 07:50:00,20.0,5.0
2015-04-13 07:50:00,22.0,7.0
2015-04-14 07:50:00,23.0,8.0
2015-04-15 07:50:00,22.0,8.0
2015-04-16 07:50:00,22.0,10.0
2015-04-17 07:50:00,22.0,13.0
2015-04-18 07:50:00,22.0,13.0
2015-04-19 07:50:00,21.0,11.0
2015-04-20 07:50:00,20.0,9.0
2015-04-21 07:50:00,23.0,8.0
2015-04-22 07:50:00,23.0,8.0
2015-04-23 07:50:00,22.0,10.0
2015-04-24 07:50:00,22.0,14.0
2015-04-25 07:50:00,23.0,13.0
2015-04-26 07:50:00,21.0,13.0
2015-04-27 07:50:00,19.0,15.0
2015-04-28 07:50:00,18.0,14.0
