date,max_temperature,min_temperature
2015-03-01 00:00:00,4,0
2015-03-02 00:00:00,6,2
2015-03-03 00:00:00,3,0
2015-03-04 00:00:00,3,-2
2015-03-05 00:00:00,6,-4
2015-03-06 00:00:00,6,-1
2015-03-07 00:00:00,7,-1
2015-03-08 00:00:00,16,7
2015-03-09 00:00:00,9,3
2015-03-10 00:00:00,11,2
2015-03-11 00:00:00,8,-3
2015-03-12 00:00:00,9,-5
2015-03-13 00:00:00,7,-3
2015-03-14 00:00:00,7,-4
2015-03-15 00:00:00,9,-1
2015-03-16 00:00:00,9,-1
2015-03-17 00:00:00,11,-2
2015-03-18 00:00:00,13,-1
2015-03-19 00:00:00,12,-2
2015-03-20 00:00:00,4,-1
2015-03-21 00:00:00,1,-7
2015-03-22 00:00:00,2,-8
2015-03-23 00:00:00,6,2
2015-03-24 00:00:00,11,1
2015-03-25 00:00:00,2,-2
2015-03-26 00:00:00,4,-1
2015-03-27 00:00:00,6,3
2015-03-28 00:00:00,6,1
2015-03-29 00:00:00,4,1
2015-03-30 00:00:00,5,1
2015-03-31 00:00:00,7,0
2015-04-01 00:00:00,8,0
2015-04-02 00:00:00,7,-1
2015-04-03 00:00:00,8,0
2015-04-04 00:00:00,4,0
2015-04-05 00:00:00,5,0
2015-04-06 00:00:00,8,-1
2015-04-07 00:00:00,15,2
2015-04-08 00:00:00,10,4
2015-04-09 00:00:00,13,2
2015-04-10 00:00:00,13,3
2015-04-11 00:00:00,14,3
2015-04-12 00:00:00,11,6
2015-04-13 00:00:00,12,4
2015-04-14 00:00:00,9,0
2015-04-15 00:00:00,12,1
2015-04-16 00:00:00,11,2
2015-04-17 00:00:00,5,1
2015-04-18 00:00:00,10,0
2015-04-19 00:00:00,16,2
2015-04-20 00:00:00,15,4
2015-04-21 00:00:00,14,2
2015-04-22 00:00:00,15,1
2015-04-23 00:00:00,13,6
2015-04-24 00:00:00,11,1
2015-04-25 00:00:00,13,2
2015-04-26 00:00:00,14,5
2015-04-27 00:00:00,14,4
2015-04-28 00:00:00,13,2
2015-04-29 00:00:00,11,3
2015-04-30 00:00:00,13,0
2015-05-01 00:00:00,10,6
2015-05-02 00:00:00,11,4
2015-05-03 00:00:00,13,4
2015-05-04 00:00:00,10,1
2015-05-05 00:00:00,12,7
2015-05-06 00:00:00,18,6
2015-05-07 00:00:00,17,4
2015-05-08 00:00:00,13,5
2015-05-09 00:00:00,14,5
2015-05-10 00:00:00,12,5
2015-05-11 00:00:00,17,1
2015-05-12 00:00:00,16,8
2015-05-13 00:00:00,11,7
2015-05-14 00:00:00,12,4
2015-05-15 00:00:00,10,2
